Node,Lower,Upper
30224_1#108,2013,2013
30134_6#358,2007,2007
30602_1#136,2013,2013
30134_6#313,2016,2016
31663_7#264,2016,2016
30224_1#381,2011,2011
30859_5#109,2016,2016
30602_1#186,2012,2012
30859_8#137,2016,2016
30602_1#9,2015,2015
30821_1#92,2017,2017
31663_7#47,2010,2010
30602_1#320,2012,2012
30859_5#140,2005,2005
30348_1#257,2010,2010
30348_1#35,2013,2013
30821_1#73,2003,2003
30348_2#88,2011,2011
30602_2#214,2014,2014
30859_5#84,2016,2016
30345_1#235,2016,2016
30602_1#116,2010,2010
30345_1#212,2010,2010
30134_6#365,2016,2016
30345_1#179,2010,2010
30602_1#182,2011,2011
30224_1#300,2006,2006
30348_1#238,2002,2002
30602_1#315,2012,2012
30348_2#334,2015,2015
30821_1#174,2006,2006
30821_1#161,2017,2017
30134_6#168,2010,2010
30602_2#282,2011,2011
30348_1#130,2017,2017
30224_1#136,2006,2006
30345_1#135,2011,2011
30345_1#30,2013,2013
30348_2#229,2014,2014
30602_1#88,2002,2002
30224_1#106,2005,2005
30602_1#56,2002,2002
30602_1#51,2010,2010
31663_7#172,2016,2016
30224_1#199,2004,2004
30348_1#185,2012,2012
30602_2#95,2017,2017
30348_1#265,2002,2002
30345_1#215,2002,2002
30224_1#380,2003,2003
30224_1#159,2009,2009
30821_1#270,2016,2016
30348_2#179,2015,2015
30859_5#103,2017,2017
31663_7#296,2016,2016
30602_1#57,2012,2012
30345_1#291,2005,2005
31663_7#18,2011,2011
30602_2#250,2007,2007
30602_2#13,2011,2011
30602_1#286,2013,2013
30602_1#93,2012,2012
30602_1#275,2005,2005
30224_1#63,2012,2012
30602_1#232,2013,2013
30348_1#77,2017,2017
30345_1#23,2011,2011
30348_2#369,2016,2016
30602_2#287,2017,2017
30859_5#296,2013,2013
30602_2#148,2016,2016
30602_1#192,2012,2012
30348_2#289,2014,2014
30859_5#271,2006,2006
30859_5#41,2008,2008
30348_1#332,2005,2005
30821_1#272,2004,2004
30821_1#287,2012,2012
30602_6#75,2005,2005
30821_1#233,2010,2010
30348_1#348,2003,2003
30348_1#229,2010,2010
30821_1#260,2013,2013
30134_6#259,2014,2014
30348_2#333,2016,2016
30134_6#178,2014,2014
30602_2#107,2009,2009
30348_1#32,2017,2017
31663_7#217,2014,2014
30859_5#131,2008,2008
30348_2#110,2014,2014
30821_1#140,2015,2015
30224_1#2,2012,2012
30224_1#80,2013,2013
30224_1#282,2003,2003
30348_2#283,2011,2011
30224_1#29,2007,2007
30602_1#45,2002,2002
30821_1#138,2004,2004
30224_1#16,2003,2003
30345_1#346,2015,2015
30821_1#177,2015,2015
30821_1#296,2013,2013
30345_1#118,2002,2002
30134_6#311,2013,2013
30348_2#96,2012,2012
30602_1#81,2006,2006
30224_1#203,2005,2005
30602_6#43,2005,2005
30348_2#45,2014,2014
30821_1#205,2004,2004
30348_2#326,2014,2014
30859_5#350,2011,2011
30345_1#62,2013,2013
30348_1#61,2017,2017
30821_1#12,2003,2003
30224_1#142,2006,2006
30602_1#329,2009,2009
30345_1#380,2005,2005
30821_1#50,2006,2006
30134_6#233,2010,2010
30859_5#174,2006,2006
30224_1#112,2013,2013
30859_5#371,2016,2016
30345_1#107,2011,2011
30345_1#236,2010,2010
30821_1#345,2010,2010
30134_6#327,2015,2015
30345_1#286,2016,2016
30859_5#299,2014,2014
30345_1#67,2014,2014
30821_1#145,2005,2005
30224_1#177,2014,2014
30821_1#113,2008,2008
30345_1#246,2012,2012
30348_1#237,2003,2003
30348_1#120,2012,2012
30224_1#357,2010,2010
30224_1#358,2013,2013
30859_5#76,2015,2015
30348_2#243,2011,2011
30348_2#181,2016,2016
30859_5#266,2008,2008
30134_6#335,2002,2002
30821_1#129,2009,2009
30345_1#256,2008,2008
30602_6#47,2006,2006
30602_1#298,2015,2015
30345_1#137,2015,2015
30859_5#378,2014,2014
30602_1#125,2005,2005
30224_1#110,2006,2006
30345_1#349,2013,2013
30348_2#233,2015,2015
30602_2#314,2011,2011
30348_1#240,2003,2003
30821_1#326,2014,2014
30859_5#100,2007,2007
30859_5#86,2009,2009
30821_1#258,2012,2012
30859_5#57,2014,2014
30859_5#9,2009,2009
30821_1#262,2010,2010
30348_1#356,2017,2017
30134_6#218,2012,2012
30821_1#156,2017,2017
30224_1#204,2011,2011
30602_1#384,2012,2012
30348_2#47,2015,2015
30602_2#155,2013,2013
30224_1#84,2014,2014
30859_5#164,2012,2012
30859_5#25,2009,2009
30821_1#242,2008,2008
30859_5#126,2010,2010
30859_5#97,2012,2012
30345_1#305,2015,2015
30348_1#25,2017,2017
30224_1#116,2014,2014
30224_1#28,2008,2008
30602_6#59,2010,2010
30821_1#33,2012,2012
30859_5#155,2014,2014
30821_1#135,2003,2003
30345_1#177,2011,2011
30602_2#126,2017,2017
31663_7#324,2015,2015
30348_1#104,2017,2017
30602_2#18,2016,2016
30345_1#355,2006,2006
30134_6#210,2015,2015
30602_6#200,2011,2011
30134_6#315,2013,2013
30345_1#121,2012,2012
30348_1#132,2015,2015
30602_2#58,2013,2013
30134_6#136,2005,2005
30821_1#375,2012,2012
30821_1#197,2009,2009
30859_5#264,2012,2012
30821_1#106,2010,2010
30859_5#304,2015,2015
30345_1#358,2017,2017
30224_1#220,2013,2013
30859_5#3,2007,2007
30348_1#79,2016,2016
30345_1#213,2011,2011
30602_6#63,2005,2005
30602_1#199,2014,2014
30602_2#99,2017,2017
30345_1#127,2010,2010
30602_1#344,2011,2011
30859_5#358,2007,2007
30602_1#27,2011,2011
30602_2#375,2017,2017
30345_1#103,2010,2010
30602_1#114,2006,2006
30821_1#291,2012,2012
30348_2#83,2016,2016
30224_1#127,2009,2009
30348_2#85,2015,2015
30602_1#348,2012,2012
30224_1#285,2017,2017
30134_6#65,2014,2014
30602_1#176,2013,2013
30602_1#381,2007,2007
30345_1#134,2006,2006
30602_1#300,2009,2009
30602_6#160,2014,2014
30859_5#210,2017,2017
30348_2#153,2016,2016
30348_1#352,2004,2004
30859_5#20,2005,2005
30345_1#10,2017,2017
30821_1#365,2003,2003
30224_1#173,2014,2014
30348_2#304,2016,2016
30821_1#22,2015,2015
30859_5#88,2017,2017
30134_6#314,2007,2007
30821_1#17,2005,2005
30602_1#380,2012,2012
30602_1#297,2009,2009
30224_1#205,2014,2014
30224_1#26,2011,2011
30345_1#227,2005,2005
30602_1#187,2013,2013
30134_6#323,2014,2014
30602_1#30,2013,2013
30348_2#178,2011,2011
30348_1#293,2002,2002
30345_1#363,2012,2012
30348_1#4,2012,2012
30821_1#334,2011,2011
30602_1#223,2012,2012
30345_1#232,2009,2009
30134_6#18,2015,2015
30859_5#87,2008,2008
